Risk_ID,Category,Asset,Threat,Vulnerability,Likelihood,Impact,Risk_Score,HIPAA_Rule,NIST_CSF_Function,Current_Controls,Control_Gap,Recommended_Control,Priority,Status
R001,Access Control,Epic EHR System,Unauthorized Access,No MFA on EHR access single factor authentication only,High,Critical,15,164.312(d),Protect,Basic password policy,No MFA no PAM no zero-trust,Implement MFA and zero-trust network access for all EHR connections,Critical,Open
R002,Ransomware,Clinical Network,Ransomware Deployment,No immutable backups no tested recovery plan,High,Critical,15,164.308(a)(7),Recover,Periodic backups,No immutable backups EHR offline 4 months,Implement 3-2-1-1 backup strategy with immutable offline copies tested monthly,Critical,Open
R003,Data Exfiltration,Patient PHI Database,Data Theft and Darkweb Sale,No DLP controls on PHI egress,High,Critical,15,164.502,Protect,Basic access logging,No DLP 791784 records exfiltrated and sold,Deploy DLP with PHI pattern detection and egress monitoring,Critical,Open
R004,Endpoint Security,Staff Workstations,Phishing Initial Access,No advanced email threat protection inadequate security training,High,High,12,164.308(a)(5),Detect,Spam filters only,No sandboxing no phishing simulation training,Deploy advanced email threat protection and mandatory phishing simulation training quarterly,High,Open
R005,Incident Response,SOC Operations,Delayed Detection,No 24/7 SOC monitoring 5-day attacker dwell time,High,Critical,15,164.308(a)(6),Detect,Business hours monitoring only,5-day undetected dwell time Jan 26-31 2024,Establish 24/7 SOC with SIEM EDR and anomaly detection,Critical,Open
R006,Medical Devices,Infusion Pumps,Lateral Movement via OT,Medical devices on flat network no segmentation,Medium,Critical,12,164.312(a),Protect,No controls,500+ medical devices co-mingled with clinical IT,Implement Purdue Model network segmentation for all medical devices,High,Open
R007,Third Party Risk,Vendor Ecosystem,Supply Chain Attack,No formal vendor security assessment program,Medium,High,10,164.308(b)(1),Identify,Basic BAAs,No TPRM program BAAs not regularly reviewed,Implement formal TPRM with annual vendor security assessments,High,Open
R008,Identity Management,Staff Accounts,Privilege Escalation,No PAM solution overprivileged accounts,High,High,12,164.312(a),Protect,Role-based access,No PAM overprivileged accounts enabled lateral movement,Deploy PAM with just-in-time privileged access and session recording,High,Open
R009,Data Classification,PHI Records,Uncontrolled PHI Exposure,No automated PHI discovery or classification,Medium,High,10,164.514,Identify,Manual processes only,No automated PHI discovery or classification,Implement automated data discovery and classification tool,Medium,Open
R010,Business Continuity,Clinical Operations,Prolonged Downtime,No tested downtime procedures for clinical staff,High,Critical,15,164.308(a)(7),Recover,Paper downtime forms,Staff unprepared 4-month EHR outage caused patient safety risks,Develop and annually test comprehensive clinical downtime procedures,Critical,Open
R011,Network Security,Hospital Network,Lateral Movement,Flat network architecture no micro-segmentation,High,Critical,15,164.312(a),Protect,Perimeter firewall only,Single flat network entire hospital on same VLAN,Implement micro-segmentation and zero-trust network architecture,Critical,Open
R012,Audit Logging,PHI Access Logs,Undetected PHI Access,Insufficient audit logging on PHI systems,High,Critical,15,164.312(b),Detect,Basic OS logging,No centralized SIEM no audit log correlation,Deploy centralized SIEM with real-time PHI access alerting,Critical,Open
R013,Encryption,PHI at Rest,Data Exposure at Rest,PHI not encrypted at field level in databases,Medium,Critical,12,164.312(a)(2)(iv),Protect,Disk encryption partial,No field-level encryption on PHI databases,Implement field-level encryption on all PHI databases,High,Open
R014,Encryption,PHI in Transit,Data Interception,Partial TLS implementation on internal systems,Medium,High,10,164.312(e)(1),Protect,External TLS only,No TLS on internal clinical communications,Enforce TLS 1.3 on all internal and external PHI transmissions,High,Open
R015,Vulnerability Management,All Systems,Unpatched Vulnerabilities,No formal patch management program,High,High,12,164.308(a)(1),Protect,Ad-hoc patching,No formal patch management 30+ day patch cycles,Implement automated patch management with 14-day critical patch SLA,High,Open
R016,Security Awareness,All Staff,Social Engineering,Inadequate security awareness training program,High,High,12,164.308(a)(5),Protect,Annual CBT only,Annual checkbox training no phishing simulations,Monthly phishing simulations quarterly security awareness training,High,Open
R017,Breach Notification,Legal/Compliance,Regulatory Violation,6-month delay in notifying 791784 individuals,High,High,12,164.404,Respond,Manual notification process,Notification took 6 months vs 60-day HIPAA requirement,Implement automated breach notification workflow with legal review,High,Open
R018,Medical Devices,Imaging Systems MRI/CT,Ransomware Propagation,Legacy OS on imaging systems no patching program,High,Critical,15,164.308(a)(1),Protect,Vendor maintenance only,Legacy Windows on imaging systems unpatched,Implement medical device patching program with vendor coordination,Critical,Open
R019,Medical Devices,Medication Dispensing Pyxis,Medication Error via Cyber,Pyxis systems on flat network accessible during breach,Medium,Critical,12,164.312(a),Protect,Physical access controls,No network isolation of medication dispensing systems,Isolate Pyxis systems on dedicated VLAN with strict access controls,High,Open
R020,Medical Devices,Patient Monitors,Vital Sign Data Manipulation,No integrity monitoring on patient monitor data feeds,Medium,High,10,164.312(c)(1),Detect,Manual clinical checks,No automated integrity monitoring on clinical data feeds,Implement medical device security platform with anomaly detection,High,Open
R021,Cloud Security,Cloud Services,Unauthorized Cloud Access,No CASB solution no cloud access monitoring,Medium,High,10,164.308(a)(1),Protect,Basic cloud policies,No CASB no shadow IT controls,Deploy CASB solution with DLP integration for cloud services,High,Open
R022,Physical Security,Server Rooms,Physical Breach,Server room access logs not regularly reviewed,Low,High,8,164.310(a)(1),Protect,Badge access CCTV,Access logs not reviewed quarterly,Implement automated access log review and anomaly alerting,Medium,Open
R023,Insider Threat,Privileged Users,Malicious Insider,No UEBA solution no insider threat program,Medium,High,10,164.308(a)(1),Detect,Manager oversight only,No behavioral analytics no insider threat detection,Deploy UEBA solution with baseline behavioral profiling,High,Open
R024,Backup Security,Backup Systems,Backup Compromise,Backup systems on same network as production,High,Critical,15,164.308(a)(7),Recover,Daily backups,Backups accessible from compromised network,Isolate backup systems on air-gapped network with immutable storage,Critical,Open
R025,Incident Response,IR Team,Inadequate IR Capability,No documented ransomware-specific IR playbook,High,High,12,164.308(a)(6),Respond,Generic IR plan,No ransomware playbook no tabletop exercises conducted,Develop ransomware IR playbook and conduct quarterly tabletop exercises,High,Open
R026,Governance,Board Level,Lack of Cyber Governance,No board-level cybersecurity oversight committee,Medium,High,10,164.308(a)(1),Govern,Annual report to board,No dedicated cyber risk committee no CISO board reporting,Establish board-level cybersecurity committee with quarterly CISO reporting,High,Open
R027,Compliance,HIPAA Program,Compliance Program Gap,No formal HIPAA compliance program or officer,High,High,12,164.308(a)(1),Govern,Compliance team exists,No formal risk analysis no documented compliance program,Appoint dedicated HIPAA Security Officer and conduct annual risk analysis,High,Open
R028,Pediatric Data,Minor PHI,Long-term Identity Theft,SSNs of minors exploitable for 18+ years,High,Critical,15,164.502,Protect,Standard breach notification,No enhanced protections for minor PHI beyond standard HIPAA,Implement enhanced monitoring and extended credit monitoring for minor PHI breach victims,Critical,Open
R029,Threat Intelligence,SOC Team,Unknown Threat Actors,No threat intelligence program or feeds,Medium,High,10,164.308(a)(1),Identify,Vendor advisories only,No TI program Rhysida TTPs not tracked prior to attack,Subscribe to healthcare-specific threat intelligence feeds (H-ISAC),High,Open
R030,Recovery Testing,DR Systems,Untested Recovery,Disaster recovery plan never tested before breach,High,Critical,15,164.308(a)(7),Recover,DR plan documented,DR plan existed but never tested 4-month recovery time,Conduct quarterly DR tests with documented RTO/RPO targets,Critical,Open
# added risk scoring
